fiscal_year,age_group,category,gender,value
2020-21,18 to 21 years,Number of New EPF Subscribers during the year,Female,423709
2020-21,22 to 25 years,Number of New EPF Subscribers during the year,Female,473791
2020-21,26 to 28 years,Number of New EPF Subscribers during the year,Female,190842
2020-21,29 to 35 years,Number of New EPF Subscribers during the year,Female,382232
2020-21,More than 35 years,Number of New EPF Subscribers during the year,Female,451032
2020-21,Total,Number of New EPF Subscribers during the year,Female,1945016
2020-21,Total,Number of members that ceased subscribing during the year,Female,2020542
2020-21,More than 35 years,Number of members that ceased subscribing during the year,Female,570595
2020-21,Less than 18 years,Number of members that ceased subscribing during the year,Transgender,0
2020-21,26 to 28 years,Number of New EPF Subscribers during the year,Total,908664
2020-21,29 to 35 years,Number of New EPF Subscribers during the year,Total,1434322
2020-21,26 to 28 years,Number of exited members who rejoined and resubscribed,Female,241392
2020-21,Less than 18 years,Number of New EPF Subscribers during the year,Transgender,1
2020-21,Total,Number of exited members who rejoined and resubscribed,Not Available,6
2020-21,Total,Number of New EPF Subscribers during the year,Transgender,139
2020-21,18 to 21 years,Number of exited members who rejoined and resubscribed,Transgender,17
2020-21,26 to 28 years,Number of members that ceased subscribing during the year,Male,1207911
2020-21,26 to 28 years,Number of exited members who rejoined and resubscribed,Male,1294089
2020-21,22 to 25 years,Number of exited members who rejoined and resubscribed,Male,1876162
2020-21,18 to 21 years,Number of exited members who rejoined and resubscribed,Male,755801
2020-21,Less than 18 years,Number of exited members who rejoined and resubscribed,Male,4201
2020-21,Total,Number of members that ceased subscribing during the year,Male,7758761
2020-21,More than 35 years,Number of members that ceased subscribing during the year,Male,2077028
2020-21,29 to 35 years,Number of members that ceased subscribing during the year,Male,1876453
2020-21,22 to 25 years,Number of members that ceased subscribing during the year,Male,1741385
2020-21,29 to 35 years,Number of exited members who rejoined and resubscribed,Male,1864799
2020-21,18 to 21 years,Number of members that ceased subscribing during the year,Male,845609
2020-21,Less than 18 years,Number of members that ceased subscribing during the year,Male,10375
2020-21,Less than 18 years,Number of members that ceased subscribing during the year,Not Available,4
2020-21,18 to 21 years,Number of members that ceased subscribing during the year,Not Available,5
2020-21,22 to 25 years,Number of members that ceased subscribing during the year,Not Available,290
2020-21,26 to 28 years,Number of members that ceased subscribing during the year,Not Available,480
2020-21,29 to 35 years,Number of members that ceased subscribing during the year,Not Available,947
2020-21,29 to 35 years,Number of exited members who rejoined and resubscribed,Male,1864799
2020-21,More than 35 years,Number of exited members who rejoined and resubscribed,Male,1673680
2020-21,Total,Number of exited members who rejoined and resubscribed,Male,7468732
2020-21,Total,Number of New EPF Subscribers during the year,Total,8548898
2020-21,26 to 28 years,Number of New EPF Subscribers during the year,Transgender,18
2020-21,29 to 35 years,Number of New EPF Subscribers during the year,Transgender,33
2020-21,More than 35 years,Number of New EPF Subscribers during the year,Transgender,19
2020-21,Total,Number of New EPF Subscribers during the year,Transgender,139
2020-21,Less than 18 years,Number of New EPF Subscribers during the year,Not Available,1
2020-21,18 to 21 years,Number of New EPF Subscribers during the year,Not Available,4
2020-21,22 to 25 years,Number of New EPF Subscribers during the year,Not Available,7
2020-21,26 to 28 years,Number of New EPF Subscribers during the year,Not Available,7
2020-21,29 to 35 years,Number of New EPF Subscribers during the year,Not Available,20
2020-21,More than 35 years,Number of New EPF Subscribers during the year,Not Available,40
2020-21,Total,Number of New EPF Subscribers during the year,Not Available,79
2020-21,22 to 25 years,Number of New EPF Subscribers during the year,Total,2090123
2020-21,26 to 28 years,Number of New EPF Subscribers during the year,Total,908664
2020-21,29 to 35 years,Number of New EPF Subscribers during the year,Total,1434322
2020-21,More than 35 years,Number of New EPF Subscribers during the year,Total,1723291
2020-21,More than 35 years,Number of members that ceased subscribing during the year,Not Available,1867
2020-21,Total,Number of members that ceased subscribing during the year,Not Available,3593
2020-21,Total,Number of New EPF Subscribers during the year,Male,6603664
2020-21,26 to 28 years,Number of exited members who rejoined and resubscribed,Male,1294089
2020-21,18 to 21 years,Number of exited members who rejoined and resubscribed,Male,755801
2020-21,Less than 18 years,Number of exited members who rejoined and resubscribed,Male,4201
2020-21,29 to 35 years,Number of exited members who rejoined and resubscribed,Not Available,4
2020-21,More than 35 years,Number of exited members who rejoined and resubscribed,Not Available,2
2020-21,Total,Number of exited members who rejoined and resubscribed,Not Available,6
2020-21,Total,Number of exited members who rejoined and resubscribed,Total,8942514
2020-21,More than 35 years,Number of exited members who rejoined and resubscribed,Total,2046702
2020-21,29 to 35 years,Number of exited members who rejoined and resubscribed,Total,2237100
2020-21,26 to 28 years,Number of exited members who rejoined and resubscribed,Total,1535510
2020-21,Total,Number of members that ceased subscribing during the year,Male,7758761
2020-21,More than 35 years,Number of members that ceased subscribing during the year,Male,2077028
2020-21,29 to 35 years,Number of members that ceased subscribing during the year,Male,1876453
2020-21,26 to 28 years,Number of members that ceased subscribing during the year,Male,1207911
2020-21,22 to 25 years,Number of members that ceased subscribing during the year,Male,1741385
2020-21,18 to 21 years,Number of members that ceased subscribing during the year,Male,845609
2020-21,22 to 25 years,Number of exited members who rejoined and resubscribed,Male,1876162
2020-21,29 to 35 years,Number of exited members who rejoined and resubscribed,Male,1864799
2020-21,More than 35 years,Number of New EPF Subscribers during the year,Male,1272200
2020-21,More than 35 years,Number of exited members who rejoined and resubscribed,Male,1673680
2020-21,29 to 35 years,Number of New EPF Subscribers during the year,Male,1052037
2020-21,26 to 28 years,Number of New EPF Subscribers during the year,Male,717797
2020-21,22 to 25 years,Number of New EPF Subscribers during the year,Male,1616288
2020-21,18 to 21 years,Number of New EPF Subscribers during the year,Male,1885407
2020-21,Less than 18 years,Number of New EPF Subscribers during the year,Male,59935
2020-21,Total,Number of New EPF Subscribers during the year,Transgender,139
2020-21,More than 35 years,Number of New EPF Subscribers during the year,Transgender,19
2020-21,29 to 35 years,Number of New EPF Subscribers during the year,Transgender,33
2020-21,26 to 28 years,Number of New EPF Subscribers during the year,Transgender,18
2020-21,22 to 25 years,Number of New EPF Subscribers during the year,Transgender,37
2020-21,Less than 18 years,Number of exited members who rejoined and resubscribed,Not Available,0
2020-21,18 to 21 years,Number of exited members who rejoined and resubscribed,Not Available,0
2020-21,22 to 25 years,Number of exited members who rejoined and resubscribed,Not Available,0
2020-21,26 to 28 years,Number of exited members who rejoined and resubscribed,Not Available,0
2020-21,Total,Number of exited members who rejoined and resubscribed,Male,7468732
2020-21,22 to 25 years,Number of New EPF Subscribers during the year,Transgender,37
2020-21,Less than 18 years,Number of New EPF Subscribers during the year,Male,59935
2020-21,18 to 21 years,Number of New EPF Subscribers during the year,Male,1885407
2020-21,29 to 35 years,Number of members that ceased subscribing during the year,Transgender,31
2020-21,22 to 25 years,Number of members that ceased subscribing during the year,Transgender,37
2020-21,Less than 18 years,Number of members that ceased subscribing during the year,Not Available,4
2020-21,18 to 21 years,Number of members that ceased subscribing during the year,Not Available,5
2020-21,22 to 25 years,Number of members that ceased subscribing during the year,Not Available,290
2020-21,26 to 28 years,Number of members that ceased subscribing during the year,Not Available,480
2020-21,Total,Number of New EPF Subscribers during the year,Male,6603664
2020-21,More than 35 years,Number of New EPF Subscribers during the year,Male,1272200
2020-21,29 to 35 years,Number of New EPF Subscribers during the year,Male,1052037
2020-21,26 to 28 years,Number of New EPF Subscribers during the year,Male,717797
2020-21,22 to 25 years,Number of New EPF Subscribers during the year,Male,1616288
2020-21,18 to 21 years,Number of New EPF Subscribers during the year,Male,1885407
2020-21,Less than 18 years,Number of New EPF Subscribers during the year,Male,59935
2020-21,29 to 35 years,Number of members that ceased subscribing during the year,Not Available,947
2020-21,More than 35 years,Number of members that ceased subscribing during the year,Not Available,1867
2020-21,Total,Number of members that ceased subscribing during the year,Not Available,3593
2020-21,26 to 28 years,Number of members that ceased subscribing during the year,Transgender,27
