fiscal_year,state,age_group,category,gender,value,unit,note
2020-21,All India,29 to 35 years,Number of New EPF Subscribers during the year,Female,382232,value in Absolute Number,
2020-21,All India,26 to 28 years,Number of New EPF Subscribers during the year,Female,190842,value in Absolute Number,
2020-21,All India,26 to 28 years,Number of exited members who rejoined and resubscribed,Transgender,29,value in Absolute Number,
2020-21,All India,22 to 25 years,Number of exited members who rejoined and resubscribed,Transgender,49,value in Absolute Number,
2020-21,All India,18 to 21 years,Number of exited members who rejoined and resubscribed,Transgender,17,value in Absolute Number,
2020-21,All India,More than 35 years,Number of exited members who rejoined and resubscribed,Female,372978,value in Absolute Number,
2020-21,All India,29 to 35 years,Number of members that ceased subscribing during the year,Transgender,31,value in Absolute Number,
2020-21,All India,26 to 28 years,Number of members that ceased subscribing during the year,Transgender,27,value in Absolute Number,
2020-21,All India,22 to 25 years,Number of members that ceased subscribing during the year,Transgender,37,value in Absolute Number,
2020-21,All India,18 to 21 years,Number of members that ceased subscribing during the year,Transgender,13,value in Absolute Number,
2020-21,All India,Less than 18 years,Number of members that ceased subscribing during the year,Transgender,0,value in Absolute Number,
2020-21,All India,18 to 21 years,Number of exited members who rejoined and resubscribed,Female,130405,value in Absolute Number,
2020-21,All India,Total,Number of exited members who rejoined and resubscribed,Female,1473606,value in Absolute Number,
2020-21,All India,29 to 35 years,Number of exited members who rejoined and resubscribed,Female,372264,value in Absolute Number,
2020-21,All India,Less than 18 years,Number of New EPF Subscribers during the year,Female,23410,value in Absolute Number,
2020-21,All India,26 to 28 years,Number of exited members who rejoined and resubscribed,Female,241392,value in Absolute Number,
2020-21,All India,Less than 18 years,Number of members that ceased subscribing during the year,Female,8338,value in Absolute Number,
2020-21,All India,Less than 18 years,Number of exited members who rejoined and resubscribed,Female,2870,value in Absolute Number,
2020-21,All India,29 to 35 years,Number of members that ceased subscribing during the year,Female,464700,value in Absolute Number,
2020-21,All India,Total,Number of exited members who rejoined and resubscribed,Female,1473606,value in Absolute Number,
2020-21,All India,More than 35 years,Number of exited members who rejoined and resubscribed,Female,372978,value in Absolute Number,
2020-21,All India,18 to 21 years,Number of members that ceased subscribing during the year,Female,205363,value in Absolute Number,
2020-21,All India,More than 35 years,Number of members that ceased subscribing during the year,Transgender,33,value in Absolute Number,
2020-21,All India,Total,Number of members that ceased subscribing during the year,Transgender,141,value in Absolute Number,
2020-21,All India,22 to 25 years,Number of exited members who rejoined and resubscribed,Female,353697,value in Absolute Number,
2020-21,All India,26 to 28 years,Number of exited members who rejoined and resubscribed,Female,241392,value in Absolute Number,
2020-21,All India,Total,Number of members that ceased subscribing during the year,Female,2020542,value in Absolute Number,
2020-21,All India,22 to 25 years,Number of exited members who rejoined and resubscribed,Total,2229908,value in Absolute Number,
2020-21,All India,Total,Number of members that ceased subscribing during the year,Transgender,141,value in Absolute Number,
2020-21,All India,More than 35 years,Number of members that ceased subscribing during the year,Female,570595,value in Absolute Number,
2020-21,All India,Less than 18 years,Number of New EPF Subscribers during the year,Transgender,1,value in Absolute Number,
2020-21,All India,18 to 21 years,Number of New EPF Subscribers during the year,Transgender,31,value in Absolute Number,
2020-21,All India,22 to 25 years,Number of New EPF Subscribers during the year,Transgender,37,value in Absolute Number,
2020-21,All India,Total,Number of exited members who rejoined and resubscribed,Female,1473606,value in Absolute Number,
2020-21,All India,More than 35 years,Number of exited members who rejoined and resubscribed,Female,372978,value in Absolute Number,
2020-21,All India,29 to 35 years,Number of exited members who rejoined and resubscribed,Female,372264,value in Absolute Number,
2020-21,All India,Total,Number of members that ceased subscribing during the year,Total,9783037,value in Absolute Number,
2020-21,All India,More than 35 years,Number of members that ceased subscribing during the year,Total,2649523,value in Absolute Number,
2020-21,All India,29 to 35 years,Number of members that ceased subscribing during the year,Total,2342131,value in Absolute Number,
2020-21,All India,26 to 28 years,Number of members that ceased subscribing during the year,Total,1505811,value in Absolute Number,
2020-21,All India,22 to 25 years,Number of members that ceased subscribing during the year,Total,2215865,value in Absolute Number,
2020-21,All India,22 to 25 years,Number of members that ceased subscribing during the year,Female,474153,value in Absolute Number,
2020-21,All India,29 to 35 years,Number of exited members who rejoined and resubscribed,Female,372264,value in Absolute Number,
2020-21,All India,26 to 28 years,Number of New EPF Subscribers during the year,Transgender,18,value in Absolute Number,
2020-21,All India,More than 35 years,Number of members that ceased subscribing during the year,Total,2649523,value in Absolute Number,
2020-21,All India,Total,Number of exited members who rejoined and resubscribed,Female,1473606,value in Absolute Number,
2020-21,All India,18 to 21 years,Number of members that ceased subscribing during the year,Total,1050990,value in Absolute Number,
2020-21,All India,Less than 18 years,Number of members that ceased subscribing during the year,Total,18717,value in Absolute Number,
2020-21,All India,22 to 25 years,Number of exited members who rejoined and resubscribed,Female,353697,value in Absolute Number,
2020-21,All India,18 to 21 years,Number of exited members who rejoined and resubscribed,Female,130405,value in Absolute Number,
2020-21,All India,Less than 18 years,Number of exited members who rejoined and resubscribed,Female,2870,value in Absolute Number,
2020-21,All India,26 to 28 years,Number of members that ceased subscribing during the year,Female,297393,value in Absolute Number,
2020-21,All India,22 to 25 years,Number of members that ceased subscribing during the year,Female,474153,value in Absolute Number,
2020-21,All India,18 to 21 years,Number of members that ceased subscribing during the year,Female,205363,value in Absolute Number,
2020-21,All India,Less than 18 years,Number of members that ceased subscribing during the year,Female,8338,value in Absolute Number,
2020-21,All India,Total,Number of members that ceased subscribing during the year,Transgender,141,value in Absolute Number,
2020-21,All India,More than 35 years,Number of members that ceased subscribing during the year,Transgender,33,value in Absolute Number,
2020-21,All India,29 to 35 years,Number of members that ceased subscribing during the year,Transgender,31,value in Absolute Number,
2020-21,All India,26 to 28 years,Number of members that ceased subscribing during the year,Transgender,27,value in Absolute Number,
2020-21,All India,22 to 25 years,Number of members that ceased subscribing during the year,Transgender,37,value in Absolute Number,
2020-21,All India,Total,Number of members that ceased subscribing during the year,Total,9783037,value in Absolute Number,
2020-21,All India,29 to 35 years,Number of members that ceased subscribing during the year,Total,2342131,value in Absolute Number,
2020-21,All India,29 to 35 years,Number of New EPF Subscribers during the year,Transgender,33,value in Absolute Number,
2020-21,All India,26 to 28 years,Number of members that ceased subscribing during the year,Total,1505811,value in Absolute Number,
2020-21,All India,26 to 28 years,Number of exited members who rejoined and resubscribed,Female,241392,value in Absolute Number,
2020-21,All India,22 to 25 years,Number of exited members who rejoined and resubscribed,Female,353697,value in Absolute Number,
2020-21,All India,Less than 18 years,Number of exited members who rejoined and resubscribed,Female,2870,value in Absolute Number,
